ID,TITLE,ANSWER,Level,lex_score,grammar_score,dictation_score,reasons
1,#1 RS,"Next time, we'll discuss the influence of the media on public policy.",2,0,0,3,"lex=0(rare_avg=4.72: discuss(4.66), influence(4.78)) | dictation=contraction; long(12); dense(8)"
2,#2 RS,He would yell if he was interrupted while painting.,3,1,2,0,"lex=1(rare_avg=3.85: yell(3.85), interrupted(3.85)) | grammar=modal(would); passive(was interrupted)"
3,#3 RS,Please come to the next seminar properly prepared.,1,0,0,1,"lex=0(rare_avg=4.21: seminar(3.77), properly(4.64)) | dictation=dense(6)"
4,#4 RS,"Market research surveys might be conducted by telephone, the internet, or in person.",3,0,2,3,"lex=0(rare_avg=4.21: surveys(4.00), telephone(4.41)) | grammar=modal(might); passive(be conducted) | dictation=list_enum; long(13); dense(7)"
5,#5 RS,"Usually, but not always, reviews provide an unbiased source of information.",2,0,0,3,"lex=0(rare_avg=3.96: unbiased(3.33), reviews(4.58)) | dictation=list_enum; long(11); dense(6)"
6,#6 RS,"The research looked at neighborhood cooperative schemes, such as community gardens.",2,0,0,2,"lex=0(rare_avg=3.95: cooperative(3.86), schemes(4.03)) | dictation=long(11); dense(7)"
7,#7 RS,"Adverts might use humor, drama or catchy slogans to grab people's attention.",2,1,1,3,"lex=1(rare_avg=3.29: adverts(3.26), slogans(3.33)) | grammar=modal(might) | dictation=contraction; list_enum; long(12); dense(9)"
8,#8 RS,"When we talk, we use tones and expressions to understand each other.",2,1,0,1,"lex=1(rare_avg=3.84: tones(3.76), expressions(3.92)) | dictation=long(12)"
9,#9 RS,I've had a very happy childhood so I sometimes forget that others haven't.,2,0,0,3,"lex=0(rare_avg=4.79: childhood(4.51), forget(5.06)) | dictation=contraction; long(13); dense(7)"
10,#10 RS,I really don't think so. Scientists should be free to do what they like.,2,0,1,2,"lex=0(rare_avg=5.80: free(5.63), really(5.97)) | grammar=modal(should) | dictation=contraction; long(14)"
11,#11 RS,"Advertisements are all around us wherever we go, whatever we do.",1,0,0,1,"lex=0(rare_avg=4.01: advertisements(3.75), wherever(4.27)) | dictation=long(11)"
12,#12 RS,Do you think new developments in science often cause more problems than they solve?,2,0,0,2,"lex=0(rare_avg=4.32: developments(4.22), solve(4.42)) | dictation=long(14); dense(8)"
13,#13 RS,The number of people in the world tripled during the last century.,2,0,0,2,"lex=0(rare_avg=4.05: tripled(3.09), century(5.02)) | dictation=long(12); dense(6)"
14,#14 RS,"People get product information from advertisements, friends, family and product reviews.",2,0,0,3,"lex=0(rare_avg=4.17: advertisements(3.75), reviews(4.58)) | dictation=list_enum; long(11); dense(9)"
15,#15 RS,It's difficult for us to control our feelings of disgust.,1,0,0,1,"lex=0(rare_avg=4.16: disgust(3.61), feelings(4.71)) | dictation=contraction"
16,#16 RS,Sometimes ads promote a brand rather than a particular product.,1,0,1,1,"lex=0(rare_avg=4.44: ads(4.32), promote(4.56)) | grammar=phrase(rather than) | dictation=dense(7)"
17,#17 RS,One theory suggests that dreams help with long-term memory.,1,0,0,1,"lex=0(rare_avg=4.54: suggests(4.49), dreams(4.59)) | dictation=dense(8)"
18,#18 RS,It's important that people with responsible jobs get plenty of sleep.,2,0,0,3,"lex=0(rare_avg=4.80: plenty(4.72), responsible(4.88)) | dictation=contraction; long(11); dense(8)"
19,#19 RS,An increase in population will lead to fewer resources.,1,0,0,0,"lex=0(rare_avg=4.61: fewer(4.31), resources(4.91))"
20,#20 RS,Elderly people can sometimes lose their connection to society.,1,0,0,1,"lex=0(rare_avg=4.46: elderly(4.15), connection(4.76)) | dictation=dense(6)"
21,#21 RS,My parents didn't have a good education so they were determined that I would.,3,0,2,2,"lex=0(rare_avg=4.92: determined(4.64), parents(5.21)) | grammar=modal(would); passive(were determined) | dictation=contraction; long(14)"
22,#22 RS,Nine out of ten British people live in towns and cities.,2,0,0,2,"lex=0(rare_avg=4.62: towns(4.39), cities(4.84)) | dictation=long(11); dense(6)"
23,#23 RS,The university is working towards being more environmentally sustainable.,1,1,0,0,"lex=1(rare_avg=3.82: environmentally(3.44), sustainable(4.19))"
24,#24 RS,But there's no context for the words we read.,1,0,0,1,"lex=0(rare_avg=4.94: context(4.63), words(5.25)) | dictation=contraction"
