caseId,family,route,entryControl,surfaceId,sourceAnchor,sourceVersion,role,capabilityFlags,datasetId,state,viewport,zoom,inputMode,evidenceClass,expectedContract,commandOrSteps,status,findingIds,artifactIds,blockerOwner,blockerReason,action,priorState,pendingState,terminalState,requestIdentity,acknowledgementBudgetProposedMs,acknowledgementMeasuredMs,outcomeMeasuredMs,settleMeasuredMs,geometrySummaryId,liveObservationId,motionPreference,focusBeforeAfter,scrollBeforeAfter,staleResponseOutcome
ZOOM-real-1,#staff,#staff,,,,9fadfec71222eccc056fb7ccf360f2bf8dd4d2ba + manifest.json,admin,,,document reflow only,1440 CSS px,100%,Chrome automation,local simulated UI,document reflow only,,pass,,font-zoom-real.json,,,,,,,,,,,,dpr=1; CSS zoom=1; actual Chrome settings zoom,,,,,
ZOOM-real-2,#students,#students,,,,9fadfec71222eccc056fb7ccf360f2bf8dd4d2ba + manifest.json,admin,,,document reflow only,1440 CSS px,100%,Chrome automation,local simulated UI,document reflow only,,pass,,font-zoom-real.json,,,,,,,,,,,,dpr=1; CSS zoom=1; actual Chrome settings zoom,,,,,
ZOOM-real-3,#courses/class-management,#courses/class-management,,,,9fadfec71222eccc056fb7ccf360f2bf8dd4d2ba + manifest.json,admin,,,document reflow only,1440 CSS px,100%,Chrome automation,local simulated UI,document reflow only,,pass,,font-zoom-real.json,,,,,,,,,,,,dpr=1; CSS zoom=1; actual Chrome settings zoom,,,,,
ZOOM-real-4,#dashboard,#dashboard,,,,9fadfec71222eccc056fb7ccf360f2bf8dd4d2ba + manifest.json,admin,,,document reflow only,1440 CSS px,100%,Chrome automation,local simulated UI,document reflow only,,pass,,font-zoom-real.json,,,,,,,,,,,,dpr=1; CSS zoom=1; actual Chrome settings zoom,,,,,
ZOOM-real-5,#books,#books,,,,9fadfec71222eccc056fb7ccf360f2bf8dd4d2ba + manifest.json,admin,,,document reflow only,1440 CSS px,100%,Chrome automation,local simulated UI,document reflow only,,pass,,font-zoom-real.json,,,,,,,,,,,,dpr=1; CSS zoom=1; actual Chrome settings zoom,,,,,
ZOOM-real-6,#staff,#staff,,,,9fadfec71222eccc056fb7ccf360f2bf8dd4d2ba + manifest.json,admin,,,document reflow only,1152 CSS px,125.0%,Chrome automation,local simulated UI,document reflow only,,pass,,font-zoom-real.json,,,,,,,,,,,,dpr=1.25; CSS zoom=1; actual Chrome settings zoom,,,,,
ZOOM-real-7,#students,#students,,,,9fadfec71222eccc056fb7ccf360f2bf8dd4d2ba + manifest.json,admin,,,document reflow only,1152 CSS px,125.0%,Chrome automation,local simulated UI,document reflow only,,pass,,font-zoom-real.json,,,,,,,,,,,,dpr=1.25; CSS zoom=1; actual Chrome settings zoom,,,,,
ZOOM-real-8,#courses/class-management,#courses/class-management,,,,9fadfec71222eccc056fb7ccf360f2bf8dd4d2ba + manifest.json,admin,,,document reflow only,1152 CSS px,125.0%,Chrome automation,local simulated UI,document reflow only,,pass,,font-zoom-real.json,,,,,,,,,,,,dpr=1.25; CSS zoom=1; actual Chrome settings zoom,,,,,
ZOOM-real-9,#dashboard,#dashboard,,,,9fadfec71222eccc056fb7ccf360f2bf8dd4d2ba + manifest.json,admin,,,document reflow only,1152 CSS px,125.0%,Chrome automation,local simulated UI,document reflow only,,pass,,font-zoom-real.json,,,,,,,,,,,,dpr=1.25; CSS zoom=1; actual Chrome settings zoom,,,,,
ZOOM-real-10,#books,#books,,,,9fadfec71222eccc056fb7ccf360f2bf8dd4d2ba + manifest.json,admin,,,document reflow only,1152 CSS px,125.0%,Chrome automation,local simulated UI,document reflow only,,pass,,font-zoom-real.json,,,,,,,,,,,,dpr=1.25; CSS zoom=1; actual Chrome settings zoom,,,,,
ZOOM-real-11,#staff,#staff,,,,9fadfec71222eccc056fb7ccf360f2bf8dd4d2ba + manifest.json,admin,,,document reflow only,960 CSS px,150.0%,Chrome automation,local simulated UI,document reflow only,,pass,,font-zoom-real.json,,,,,,,,,,,,dpr=1.5; CSS zoom=1; actual Chrome settings zoom,,,,,
ZOOM-real-12,#students,#students,,,,9fadfec71222eccc056fb7ccf360f2bf8dd4d2ba + manifest.json,admin,,,document reflow only,960 CSS px,150.0%,Chrome automation,local simulated UI,document reflow only,,pass,,font-zoom-real.json,,,,,,,,,,,,dpr=1.5; CSS zoom=1; actual Chrome settings zoom,,,,,
ZOOM-real-13,#courses/class-management,#courses/class-management,,,,9fadfec71222eccc056fb7ccf360f2bf8dd4d2ba + manifest.json,admin,,,document reflow only,960 CSS px,150.0%,Chrome automation,local simulated UI,document reflow only,,pass,,font-zoom-real.json,,,,,,,,,,,,dpr=1.5; CSS zoom=1; actual Chrome settings zoom,,,,,
ZOOM-real-14,#dashboard,#dashboard,,,,9fadfec71222eccc056fb7ccf360f2bf8dd4d2ba + manifest.json,admin,,,document reflow only,960 CSS px,150.0%,Chrome automation,local simulated UI,document reflow only,,pass,,font-zoom-real.json,,,,,,,,,,,,dpr=1.5; CSS zoom=1; actual Chrome settings zoom,,,,,
ZOOM-real-15,#books,#books,,,,9fadfec71222eccc056fb7ccf360f2bf8dd4d2ba + manifest.json,admin,,,document reflow only,960 CSS px,150.0%,Chrome automation,local simulated UI,document reflow only,,pass,,font-zoom-real.json,,,,,,,,,,,,dpr=1.5; CSS zoom=1; actual Chrome settings zoom,,,,,
ZOOM-real-16,#staff,#staff,,,,9fadfec71222eccc056fb7ccf360f2bf8dd4d2ba + manifest.json,admin,,,document reflow only,720 CSS px,200%,Chrome automation,local simulated UI,document reflow only,,pass,,font-zoom-real.json,,,,,,,,,,,,dpr=2; CSS zoom=1; actual Chrome settings zoom,,,,,
ZOOM-real-17,#students,#students,,,,9fadfec71222eccc056fb7ccf360f2bf8dd4d2ba + manifest.json,admin,,,document reflow only,720 CSS px,200%,Chrome automation,local simulated UI,document reflow only,,pass,,font-zoom-real.json,,,,,,,,,,,,dpr=2; CSS zoom=1; actual Chrome settings zoom,,,,,
ZOOM-real-18,#courses/class-management,#courses/class-management,,,,9fadfec71222eccc056fb7ccf360f2bf8dd4d2ba + manifest.json,admin,,,document reflow only,720 CSS px,200%,Chrome automation,local simulated UI,document reflow only,,pass,,font-zoom-real.json,,,,,,,,,,,,dpr=2; CSS zoom=1; actual Chrome settings zoom,,,,,
ZOOM-real-19,#dashboard,#dashboard,,,,9fadfec71222eccc056fb7ccf360f2bf8dd4d2ba + manifest.json,admin,,,document reflow only,720 CSS px,200%,Chrome automation,local simulated UI,document reflow only,,pass,,font-zoom-real.json,,,,,,,,,,,,dpr=2; CSS zoom=1; actual Chrome settings zoom,,,,,
ZOOM-real-20,#books,#books,,,,9fadfec71222eccc056fb7ccf360f2bf8dd4d2ba + manifest.json,admin,,,document reflow only,720 CSS px,200%,Chrome automation,local simulated UI,document reflow only,,pass,,font-zoom-real.json,,,,,,,,,,,,dpr=2; CSS zoom=1; actual Chrome settings zoom,,,,,
ZOOM-real-21,#staff,#staff,,,,9fadfec71222eccc056fb7ccf360f2bf8dd4d2ba + manifest.json,admin,,,document reflow only,360 CSS px,400%,Chrome automation,local simulated UI,document reflow only,,pass,,font-zoom-real.json,,,,,,,,,,,,dpr=4; CSS zoom=1; actual Chrome settings zoom,,,,,
ZOOM-real-22,#students,#students,,,,9fadfec71222eccc056fb7ccf360f2bf8dd4d2ba + manifest.json,admin,,,document reflow only,360 CSS px,400%,Chrome automation,local simulated UI,document reflow only,,pass,,font-zoom-real.json,,,,,,,,,,,,dpr=4; CSS zoom=1; actual Chrome settings zoom,,,,,
