ID,TITLE,ANSWER,Level,lex_score,grammar_score,dictation_score,reasons
1,#1 WFD,The artists and conservative politicians follow their own rules in politics.,2,0,0,2,"lex=0(rare_avg=4.58: politicians(4.54), conservative(4.61)) | dictation=long(11); dense(6)"
2,#2 WFD,Please confirm that you have received the textbook.,1,0,1,0,"lex=0(rare_avg=4.08: textbook(3.77), confirm(4.40)) | grammar=perfect(have received)"
3,#3 WFD,The change of policy will have a great effect on society.,1,0,0,1,"lex=0(rare_avg=5.09: effect(5.02), policy(5.17)) | dictation=long(11)"
4,#4 WFD,You will acquire many skills during your academic studies.,1,0,0,0,"lex=0(rare_avg=4.35: acquire(4.13), academic(4.57))"
5,#5 WFD,Graduates from this course typically pursue careers in the financial sector.,2,0,0,2,"lex=0(rare_avg=4.05: graduates(4.02), careers(4.08)) | dictation=long(11); dense(7)"
6,#6 WFD,The features provide the same explanation of the problem.,1,0,0,0,"lex=0(rare_avg=4.69: explanation(4.44), features(4.94))"
7,#7 WFD,The results of the study underscore the importance of the discoveries from early detection.,2,1,0,2,"lex=1(rare_avg=3.35: underscore(2.97), discoveries(3.73)) | dictation=long(14); dense(7)"
8,#8 WFD,The program must be conducted in accordance with general regulations.,3,0,2,0,"lex=0(rare_avg=4.31: accordance(4.13), regulations(4.50)) | grammar=modal(must); passive(be conducted)"
9,#9 WFD,The undergraduates need some specific sources to analyze a program.,1,1,0,1,"lex=1(rare_avg=3.49: undergraduates(3.14), analyze(3.84)) | dictation=dense(6)"
10,#10 WFD,The department will continue to offer three new scholarships next year.,2,0,0,2,"lex=0(rare_avg=4.40: scholarships(3.76), offer(5.05)) | dictation=long(11); dense(8)"
11,#11 WFD,Dogs are able to provide assistance to people with disabilities.,1,0,0,1,"lex=0(rare_avg=4.26: disabilities(3.93), assistance(4.59)) | dictation=dense(6)"
12,#12 WFD,Popular culture is now a serious subject of academic inquiry.,1,0,0,1,"lex=0(rare_avg=4.41: inquiry(4.25), academic(4.57)) | dictation=dense(6)"
13,#13 WFD,The reading list will be available before the course begins.,1,0,0,0,"lex=0(rare_avg=4.88: begins(4.62), reading(5.14))"
14,#14 WFD,Books for children often contain many beautiful illustrations.,1,0,0,1,"lex=0(rare_avg=4.19: illustrations(3.87), contain(4.50)) | dictation=dense(7)"
15,#15 WFD,Blue whales are the largest animals that have ever lived.,1,0,1,1,"lex=0(rare_avg=4.30: whales(3.77), animals(4.84)) | grammar=perfect(have ever lived) | dictation=dense(6)"
16,#16 WFD,Free campus tour runs daily during the summer for prospective students.,2,0,0,2,"lex=0(rare_avg=4.19: prospective(3.87), campus(4.51)) | dictation=long(11); dense(8)"
17,#17 WFD,Interim grades will be posted on the board outside the student lounge.,2,0,1,2,"lex=0(rare_avg=3.96: lounge(3.92), interim(4.00)) | grammar=passive(be posted) | dictation=long(12); dense(7)"
18,#18 WFD,A regional assembly was moved to the devolution of power.,1,1,1,0,"lex=1(rare_avg=3.83: devolution(3.06), assembly(4.61)) | grammar=passive(was moved)"
19,#19 WFD,I think it's one of the best things I've done really.,2,0,0,3,"lex=0(rare_avg=5.66: done(5.58), things(5.74)) | dictation=contraction; long(11); dense(7)"
20,#20 WFD,The celebrated theory is still the source of great controversy.,1,0,0,0,"lex=0(rare_avg=4.25: celebrated(4.24), controversy(4.26))"
21,#21 WFD,A good academic paper should be clear.,1,0,1,0,"lex=0(rare_avg=4.82: academic(4.57), paper(5.07)) | grammar=modal(should)"
22,#22 WFD,"A good architectural structure should be useful, durable, and beautiful.",2,1,1,2,"lex=1(rare_avg=3.82: durable(3.68), architectural(3.96)) | grammar=modal(should) | dictation=list_enum; dense(6)"
23,#23 WFD,Employers accept applications from all academically graduated backgrounds.,1,1,0,1,"lex=1(rare_avg=3.49: academically(3.18), backgrounds(3.79)) | dictation=dense(6)"
24,#24 WFD,A balanced diet and regular exercise are necessary for good health.,2,0,0,2,"lex=0(rare_avg=4.38: balanced(4.18), diet(4.57)) | dictation=long(11); dense(7)"
25,#25 WFD,A good scientific paper should have clear arguments.,1,0,1,0,"lex=0(rare_avg=4.50: arguments(4.33), scientific(4.67)) | grammar=modal(should)"
26,#26 WFD,A massive accumulation of data was converted into a coherent argument.,2,1,1,2,"lex=1(rare_avg=3.61: accumulation(3.59), coherent(3.63)) | grammar=passive(was converted) | dictation=long(11); dense(6)"
27,#27 WFD,Today a number of students have volunteer jobs.,1,0,0,0,"lex=0(rare_avg=4.63: volunteer(4.28), jobs(4.98))"
29,#29 WFD,The educational level is found to be related to social and economic background.,2,0,1,2,"lex=0(rare_avg=4.68: educational(4.60), background(4.77)) | grammar=passive(be related) | dictation=long(13); dense(7)"
30,#30 WFD,A recent article shows a number of interesting experiments.,1,0,0,1,"lex=0(rare_avg=4.60: experiments(4.20), interesting(5.00)) | dictation=dense(6)"
31,#31 WFD,A very basic feature of computing would be counting and calculating.,2,1,1,1,"lex=1(rare_avg=3.82: calculating(3.57), computing(4.07)) | grammar=modal(would) | dictation=long(11)"
32,#32 WFD,Organization plays an important role in academic literature.,1,0,0,1,"lex=0(rare_avg=4.60: academic(4.57), literature(4.62)) | dictation=dense(6)"
33,#33 WFD,"Accountancy students probably have a good understanding of economics, statistics and psychology.",2,1,0,3,"lex=1(rare_avg=3.71: accountancy(3.10), psychology(4.31)) | dictation=list_enum; long(12); dense(8)"
34,#34 WFD,Accountant students should have a good understanding of the profit and loss statement.,2,0,1,2,"lex=0(rare_avg=4.23: accountant(3.76), profit(4.70)) | grammar=modal(should) | dictation=long(13); dense(7)"
35,#35 WFD,Students who study environmental biology need to do fieldwork.,2,1,1,1,"lex=1(rare_avg=3.59: fieldwork(2.96), biology(4.22)) | grammar=relative(who) | dictation=dense(6)"
36,#36 WFD,The posters are on display in the larger lecture theater.,1,0,0,0,"lex=0(rare_avg=4.06: posters(3.99), lecture(4.14))"
37,#37 WFD,Affordable housing is an important issue for all members of society.,2,0,1,2,"lex=0(rare_avg=4.49: affordable(4.22), housing(4.77)) | grammar=passive(is an important) | dictation=long(11); dense(6)"
38,#38 WFD,Agenda items should be submitted by the end of the day.,3,0,2,1,"lex=0(rare_avg=4.31: agenda(4.30), submitted(4.32)) | grammar=modal(should); passive(be submitted) | dictation=long(11)"
39,#39 WFD,All answers must be thoroughly researched and supported by relevant theories.,3,1,2,2,"lex=1(rare_avg=3.83: researched(3.56), thoroughly(4.09)) | grammar=modal(must); passive(be thoroughly researched) | dictation=long(11); dense(6)"
40,#40 WFD,All dissertations must be accompanied by a submission form.,3,1,2,0,"lex=1(rare_avg=3.43: dissertations(2.79), submission(4.07)) | grammar=modal(must); passive(be accompanied)"
41,#41 WFD,You must change your password every month.,1,0,1,0,"lex=0(rare_avg=4.65: password(4.06), month(5.25)) | grammar=modal(must)"
42,#42 WFD,All lectures and learning materials can be found on the internet.,1,0,0,1,"lex=0(rare_avg=4.37: lectures(3.96), materials(4.78)) | dictation=long(11)"
43,#43 WFD,All of the assignments must be submitted in person to the faculty office.,3,0,2,1,"lex=0(rare_avg=4.10: assignments(3.88), submitted(4.32)) | grammar=modal(must); passive(be submitted) | dictation=long(13)"
44,#44 WFD,You will be tested online.,1,0,1,0,"lex=0(rare_avg=4.84: tested(4.48), online(5.19)) | grammar=passive(be tested)"
45,#45 WFD,The research results will be shared with the internal and external stakeholders.,2,0,1,2,"lex=0(rare_avg=4.04: stakeholders(3.56), external(4.52)) | grammar=passive(be shared) | dictation=long(12); dense(6)"
46,#46 WFD,All students are expected to attend ten lab sessions per semester.,2,0,1,2,"lex=0(rare_avg=4.22: semester(4.03), lab(4.42)) | grammar=passive(are expected) | dictation=long(11); dense(8)"
47,#47 WFD,Two drops of the solution were heated in a test tube.,2,0,1,2,"lex=0(rare_avg=4.21: heated(4.09), drops(4.33)) | grammar=passive(were heated) | dictation=long(11); dense(6)"
48,#48 WFD,Technology has changed the media we both used and studied.,1,0,1,0,"lex=0(rare_avg=4.78: studied(4.49), changed(5.07)) | grammar=perfect(has changed)"
