word_id,word,source,level,AH [?] ,UH [?] ,EE [i] ,IH [?] ,EH [?] ,AA [�] ,UR [?] ,UH [?] ,OO [u] ,AW [?] 
1,"a, an",Oxford5000,A1,0,0,0,0,0,1,0,1,0,0
2,abandon,Oxford5000,B2,0,0,0,0,0,1,0,1,0,0
3,ability,Oxford5000,A2,0,0,1,1,0,0,0,1,0,0
4,able,Oxford5000,A2,0,0,0,0,0,0,0,1,0,0
5,abolish,Oxford5000,C1,1,0,0,1,0,0,0,1,0,0
6,abortion,Oxford5000,C1,0,0,0,0,0,0,0,1,0,1
7,about,Oxford5000,A1,0,0,0,0,0,0,0,1,0,0
8,above,Oxford5000,A1,0,1,0,0,0,0,0,1,0,0
9,abroad,Oxford5000,A2,0,0,0,0,0,0,0,1,0,1
10,absence,Oxford5000,C1,0,0,0,0,0,1,0,1,0,0
11,absent,Oxford5000,C1,0,0,0,0,0,1,0,1,0,0
12,absolute,Oxford5000,B2,0,0,0,0,0,1,0,1,1,0
13,absolutely,Oxford5000,B1,0,0,1,0,0,1,0,1,1,0
14,absorb,Oxford5000,B2,0,0,0,0,0,0,0,1,0,1
15,abstract,Oxford5000,B2,0,0,0,0,0,1,0,0,0,0
16,absurd,Oxford5000,C1,0,0,0,0,0,0,1,1,0,0
17,abundance,Oxford5000,C1,0,1,0,0,0,0,0,1,0,0
18,abuse,Oxford5000,C1,0,0,0,0,0,0,0,1,1,0
19,academic,Oxford5000,B1,0,0,0,1,1,1,0,1,0,0
20,academy,Oxford5000,C1,0,0,1,0,0,1,0,1,0,0
21,accent,Oxford5000,B2,0,0,0,0,1,0,0,1,0,0
22,accept,Oxford5000,A2,0,0,0,0,1,1,0,0,0,0
23,acceptable,Oxford5000,B2,0,0,0,0,1,1,0,1,0,0
24,acceptance,Oxford5000,C1,0,0,0,0,1,1,0,1,0,0
25,access,Oxford5000,B1,0,0,0,0,1,1,0,0,0,0
26,accessible,Oxford5000,C1,0,0,0,0,1,1,0,1,0,0
27,accident,Oxford5000,A2,0,0,0,0,0,1,0,1,0,0
28,accidentally,Oxford5000,B2,0,0,1,0,1,1,0,1,0,0
29,accommodate,Oxford5000,B2,1,0,0,0,0,0,0,1,0,0
30,accommodation,Oxford5000,B1,1,0,0,0,0,0,0,1,0,0
31,accompany,Oxford5000,B2,0,1,1,0,0,0,0,1,0,0
32,accomplish,Oxford5000,B2,1,0,0,1,0,0,0,1,0,0
33,accomplishment,Oxford5000,C1,1,0,0,1,0,0,0,1,0,0
34,accordance,Oxford5000,C1,0,0,0,0,0,0,0,1,0,1
35,according to,Oxford5000,A2,0,0,0,1,0,0,0,1,1,1
36,accordingly,Oxford5000,C1,0,0,1,1,0,0,0,1,0,1
37,account,Oxford5000,B1,0,0,0,0,0,0,0,1,0,0
38,accountability,Oxford5000,C1,0,0,1,1,0,0,0,1,0,0
39,accountable,Oxford5000,C1,0,0,0,0,0,0,0,1,0,0
40,accountant,Oxford5000,B2,0,0,0,0,0,0,0,1,0,0
41,accumulate,Oxford5000,C1,0,0,0,0,0,0,0,1,1,0
42,accumulation,Oxford5000,C1,0,0,0,0,0,0,0,1,1,0
43,accuracy,Oxford5000,B2,0,0,1,0,0,1,1,1,0,0
44,accurate,Oxford5000,B2,0,0,0,0,0,1,1,1,0,0
45,accurately,Oxford5000,B2,0,0,1,0,0,1,1,1,0,0
46,accusation,Oxford5000,C1,0,0,0,0,0,1,0,1,0,0
47,accuse,Oxford5000,B2,0,0,0,0,0,0,0,1,1,0
48,accused,Oxford5000,C1,0,0,0,0,0,0,0,1,1,0
49,achieve,Oxford5000,A2,0,0,1,0,0,0,0,1,0,0
50,achievement,Oxford5000,B1,0,0,1,0,0,0,0,1,0,0
51,acid,Oxford5000,C1,0,0,0,0,0,1,0,1,0,0
52,acknowledge,Oxford5000,B2,1,0,0,1,0,1,0,0,0,0
53,acquire,Oxford5000,B2,0,0,0,0,0,0,1,1,0,0
54,acquisition,Oxford5000,C1,0,0,0,1,0,1,0,1,0,0
55,acre,Oxford5000,C1,0,0,0,0,0,0,1,0,0,0
56,across,Oxford5000,A1,0,0,0,0,0,0,0,1,0,1
57,act,Oxford5000,B1,0,0,0,0,0,1,0,0,0,0
58,action,Oxford5000,A1,0,0,0,0,0,1,0,1,0,0
59,active,Oxford5000,A2,0,0,0,1,0,1,0,0,0,0
60,activate,Oxford5000,B2,0,0,0,0,0,1,0,1,0,0
61,activation,Oxford5000,C1,0,0,0,0,0,1,0,1,0,0
62,activist,Oxford5000,C1,0,0,0,0,0,1,0,1,0,0
63,activity,Oxford5000,A1,0,0,1,1,0,1,0,1,0,0
64,actor,Oxford5000,A1,0,0,0,0,0,1,1,0,0,0
65,actress,Oxford5000,A1,0,0,0,0,0,1,0,1,0,0
66,actual,Oxford5000,B2,0,0,0,0,0,1,0,1,0,0
67,actually,Oxford5000,A2,0,0,1,0,0,1,0,1,1,0
68,acute,Oxford5000,C1,0,0,0,0,0,0,0,1,1,0
69,ad,Oxford5000,B1,0,0,0,0,0,1,0,0,0,0
70,adapt,Oxford5000,B2,0,0,0,0,0,1,0,1,0,0
71,adaptation,Oxford5000,C1,0,0,0,0,0,1,0,1,0,0
72,add,Oxford5000,A1,0,0,0,0,0,1,0,0,0,0
73,addiction,Oxford5000,B2,0,0,0,1,0,0,0,1,0,0
74,addition,Oxford5000,B1,0,0,0,1,0,0,0,1,0,0
75,additional,Oxford5000,B2,0,0,0,1,0,0,0,1,0,0
76,additionally,Oxford5000,B2,0,1,1,1,0,0,0,1,0,0
